全角,和暦,辞書用よみ,西暦,和暦元号,和暦（読み）,年（半）,年（全）,十子,読み,十二支,読み,時代区分,備考
７０８,和銅1,わどう１,708,和銅,わどう,1,１,戊,つちのえ,申,さる,0,
７０９,和銅2,わどう２,709,和銅,わどう,2,２,己,つちのと,酉,とり,,
７１０,和銅3,わどう３,710,和銅,わどう,3,３,庚,かのえ,戌,いぬ,,平城京遷都
７１１,和銅4,わどう４,711,和銅,わどう,4,４,辛,かのと,亥,いのしし,,
７１２,和銅5,わどう５,712,和銅,わどう,5,５,壬,みずのえ,子,ねずみ,,
７１３,和銅6,わどう６,713,和銅,わどう,6,６,癸,みずのと,丑,うし,,
７１４,和銅7,わどう７,714,和銅,わどう,7,７,甲,きのえ,寅,とら,,
７１５,和銅8,わどう８,715,和銅,わどう,8,８,乙,きのと,卯,うさぎ,奈良時代,
７１５,霊亀1,れいき１,715,霊亀,れいき,1,１,乙,きのと,卯,うさぎ,奈良時代,
７１６,霊亀2,れいき２,716,霊亀,れいき,2,２,丙,ひのえ,辰,たつ,,
７１７,霊亀3,れいき３,717,霊亀,れいき,3,３,丁,ひのと,巳,へび,0,
７１７,養老1,ようろう１,717,養老,ようろう,1,１,丁,ひのと,巳,へび,0,
７１８,養老2,ようろう２,718,養老,ようろう,2,２,戊,つちのえ,午,うま,,
７１９,養老3,ようろう３,719,養老,ようろう,3,３,己,つちのと,未,ひつじ,,
７２０,養老4,ようろう４,720,養老,ようろう,4,４,庚,かのえ,申,さる,,日本書記作成
７２１,養老5,ようろう５,721,養老,ようろう,5,５,辛,かのと,酉,とり,,
７２２,養老6,ようろう６,722,養老,ようろう,6,６,壬,みずのえ,戌,いぬ,,
７２３,養老7,ようろう７,723,養老,ようろう,7,７,癸,みずのと,亥,いのしし,,
７２４,養老8,ようろう８,724,養老,ようろう,8,８,甲,きのえ,子,ねずみ,0,
７２４,神亀1,じんき１,724,神亀,じんき,1,１,甲,きのえ,子,ねずみ,0,
７２５,神亀2,じんき２,725,神亀,じんき,2,２,乙,きのと,丑,うし,,
７２６,神亀3,じんき３,726,神亀,じんき,3,３,丙,ひのえ,寅,とら,,
７２７,神亀4,じんき４,727,神亀,じんき,4,４,丁,ひのと,卯,うさぎ,,
７２８,神亀5,じんき５,728,神亀,じんき,5,５,戊,つちのえ,辰,たつ,,
７２９,神亀6,じんき６,729,神亀,じんき,6,６,己,つちのと,巳,へび,0,長屋王の変
７２９,天平1,てんぴょう１,729,天平,てんぴょう,1,１,己,つちのと,巳,へび,0,長屋王の変
７３０,天平2,てんぴょう２,730,天平,てんぴょう,2,２,庚,かのえ,午,うま,,
７３１,天平3,てんぴょう３,731,天平,てんぴょう,3,３,辛,かのと,未,ひつじ,,
７３２,天平4,てんぴょう４,732,天平,てんぴょう,4,４,壬,みずのえ,申,さる,,
７３３,天平5,てんぴょう５,733,天平,てんぴょう,5,５,癸,みずのと,酉,とり,,
７３４,天平6,てんぴょう６,734,天平,てんぴょう,6,６,甲,きのえ,戌,いぬ,,
７３５,天平7,てんぴょう７,735,天平,てんぴょう,7,７,乙,きのと,亥,いのしし,,
７３６,天平8,てんぴょう８,736,天平,てんぴょう,8,８,丙,ひのえ,子,ねずみ,,
７３７,天平9,てんぴょう９,737,天平,てんぴょう,9,９,丁,ひのと,丑,うし,,
７３８,天平10,てんぴょう１０,738,天平,てんぴょう,10,１０,戊,つちのえ,寅,とら,,
７３９,天平11,てんぴょう１１,739,天平,てんぴょう,11,１１,己,つちのと,卯,うさぎ,,
７４０,天平12,てんぴょう１２,740,天平,てんぴょう,12,１２,庚,かのえ,辰,たつ,,
７４１,天平13,てんぴょう１３,741,天平,てんぴょう,13,１３,辛,かのと,巳,へび,,
７４２,天平14,てんぴょう１４,742,天平,てんぴょう,14,１４,壬,みずのえ,午,うま,,
７４３,天平15,てんぴょう１５,743,天平,てんぴょう,15,１５,癸,みずのと,未,ひつじ,,
７４４,天平16,てんぴょう１６,744,天平,てんぴょう,16,１６,甲,きのえ,申,さる,,
７４５,天平17,てんぴょう１７,745,天平,てんぴょう,17,１７,乙,きのと,酉,とり,,
７４６,天平18,てんぴょう１８,746,天平,てんぴょう,18,１８,丙,ひのえ,戌,いぬ,,
７４７,天平19,てんぴょう１９,747,天平,てんぴょう,19,１９,丁,ひのと,亥,いのしし,,
７４８,天平20,てんぴょう２０,748,天平,てんぴょう,20,２０,戊,つちのえ,子,ねずみ,,
７４９,天平21,てんぴょう２１,749,天平,てんぴょう,21,２１,己,つちのと,丑,うし,0,
７４９,天平感宝1,てんぴょうかんぽう１,749,天平感宝,てんぴょうかんぽう,1,１,己,つちのと,丑,うし,0,
７４９,天平勝宝1,てんぴょうしょうほう１,749,天平勝宝,てんぴょうしょうほう,1,１,己,つちのと,丑,うし,0,
７５０,天平勝宝2,てんぴょうしょうほう２,750,天平勝宝,てんぴょうしょうほう,2,２,庚,かのえ,寅,とら,,
７５１,天平勝宝3,てんぴょうしょうほう３,751,天平勝宝,てんぴょうしょうほう,3,３,辛,かのと,卯,うさぎ,,
７５２,天平勝宝4,てんぴょうしょうほう４,752,天平勝宝,てんぴょうしょうほう,4,４,壬,みずのえ,辰,たつ,,
７５３,天平勝宝5,てんぴょうしょうほう５,753,天平勝宝,てんぴょうしょうほう,5,５,癸,みずのと,巳,へび,,
７５４,天平勝宝6,てんぴょうしょうほう６,754,天平勝宝,てんぴょうしょうほう,6,６,甲,きのえ,午,うま,,
７５５,天平勝宝7,てんぴょうしょうほう７,755,天平勝宝,てんぴょうしょうほう,7,７,乙,きのと,未,ひつじ,,
７５６,天平勝宝8,てんぴょうしょうほう８,756,天平勝宝,てんぴょうしょうほう,8,８,丙,ひのえ,申,さる,,
７５７,天平勝宝9,てんぴょうしょうほう９,757,天平勝宝,てんぴょうしょうほう,9,９,丁,ひのと,酉,とり,0,
７５７,天平宝字1,てんぴょうほうじ１,757,天平宝字,てんぴょうほうじ,1,１,丁,ひのと,酉,とり,0,
７５８,天平宝字2,てんぴょうほうじ２,758,天平宝字,てんぴょうほうじ,2,２,戊,つちのえ,戌,いぬ,,
７５９,天平宝字3,てんぴょうほうじ３,759,天平宝字,てんぴょうほうじ,3,３,己,つちのと,亥,いのしし,,
７６０,天平宝字4,てんぴょうほうじ４,760,天平宝字,てんぴょうほうじ,4,４,庚,かのえ,子,ねずみ,,
７６１,天平宝字5,てんぴょうほうじ５,761,天平宝字,てんぴょうほうじ,5,５,辛,かのと,丑,うし,,
７６２,天平宝字6,てんぴょうほうじ６,762,天平宝字,てんぴょうほうじ,6,６,壬,みずのえ,寅,とら,,
７６３,天平宝字7,てんぴょうほうじ７,763,天平宝字,てんぴょうほうじ,7,７,癸,みずのと,卯,うさぎ,,
７６４,天平宝字8,てんぴょうほうじ８,764,天平宝字,てんぴょうほうじ,8,８,甲,きのえ,辰,たつ,,
７６５,天平宝字9,てんぴょうほうじ９,765,天平宝字,てんぴょうほうじ,9,９,乙,きのと,巳,へび,0,
７６５,天平神護1,てんぴょうじんご１,765,天平神護,てんぴょうじんご,1,１,乙,きのと,巳,へび,0,
７６６,天平神護2,てんぴょうじんご２,766,天平神護,てんぴょうじんご,2,２,丙,ひのえ,午,うま,,
７６７,天平神護3,てんぴょうじんご３,767,天平神護,てんぴょうじんご,3,３,丁,ひのと,未,ひつじ,0,
７６７,神護景雲1,じんごけいうん１,767,神護景雲,じんごけいうん,1,１,丁,ひのと,未,ひつじ,0,
７６８,神護景雲2,じんごけいうん２,768,神護景雲,じんごけいうん,2,２,戊,つちのえ,申,さる,,
７６９,神護景雲3,じんごけいうん３,769,神護景雲,じんごけいうん,3,３,己,つちのと,酉,とり,,
７７０,神護景雲4,じんごけいうん４,770,神護景雲,じんごけいうん,4,４,庚,かのえ,戌,いぬ,0,
７７０,宝亀1,ほうき１,770,宝亀,ほうき,1,１,庚,かのえ,戌,いぬ,0,
７７１,宝亀2,ほうき２,771,宝亀,ほうき,2,２,辛,かのと,亥,いのしし,,
７７２,宝亀3,ほうき３,772,宝亀,ほうき,3,３,壬,みずのえ,子,ねずみ,,
７７３,宝亀4,ほうき４,773,宝亀,ほうき,4,４,癸,みずのと,丑,うし,,
７７４,宝亀5,ほうき５,774,宝亀,ほうき,5,５,甲,きのえ,寅,とら,,
７７５,宝亀6,ほうき６,775,宝亀,ほうき,6,６,乙,きのと,卯,うさぎ,,
７７６,宝亀7,ほうき７,776,宝亀,ほうき,7,７,丙,ひのえ,辰,たつ,,
７７７,宝亀8,ほうき８,777,宝亀,ほうき,8,８,丁,ひのと,巳,へび,,
